ShowCount,GeneralCount,GoodRateShow,GoodRateStyle,GeneralRateShow,Score2Count,AverageScore,PoorRateStyle,CommentCount,GoodRate,AfterCount,PoorRate,GeneralRate,ProductId,SkuId,GeneralRateStyle,Score5Count,Score4Count,PoorRateShow,GoodCount,PoorCount,Score1Count,Score3Count
107,43,98,148,1,19,5,1,4486,0.984,5,0.007,0.009,10361687746,10361687746,1,4355,55,1,4410,33,33,24
18,3,99,148,1,3,5,0,255,0.989,0,0.0,0.011,11284965342,11284965342,2,251,1,0,252,0,0,0
6,8,98,147,1,0,5,1,617,0.982,0,0.006,0.012,10477299418,10477299418,2,590,15,1,605,4,4,8
63,35,98,147,1,14,5,1,2927,0.982,2,0.007,0.011,10433000702,10433000702,2,2813,56,1,2869,23,23,21
17,3,95,143,3,1,5,3,110,0.955,1,0.018,0.027,10087240467,10087240467,4,99,6,2,105,2,2,2
8,2,91,136,6,1,5,5,33,0.91,0,0.03,0.06,1007660528,1007660528,9,28,2,3,30,1,1,1
8,2,94,142,3,2,5,4,76,0.948,0,0.026,0.026,10113882889,10113882889,4,69,3,3,72,2,2,0
273,27,97,145,2,5,5,2,1286,0.969,12,0.011,0.02,11051176201,11051176201,3,1211,33,1,1244,15,15,22
6,0,100,150,0,0,5,0,167,1.0,2,0.0,0.0,10843295062,10843295062,0,164,3,0,167,0,0,0
121,41,95,142,3,9,5,3,1322,0.95,8,0.019,0.031,11453966654,11453966654,5,1199,56,2,1255,26,26,32
9135,2487,95,144,3,628,5,2,99133,0.96,163,0.015,0.025,302819,302819,4,89602,5500,2,95102,1544,1544,1859
6,0,100,150,0,0,5,0,40,1.0,0,0.0,0.0,11290392642,11290392642,0,40,0,0,40,0,0,0
42,6,99,149,1,3,5,0,806,0.991,1,0.002,0.007,1511325543,1511325543,1,783,15,0,798,2,2,3
4,1,95,142,1,0,5,7,112,0.948,1,0.044,0.008,10085121771,10085121771,1,103,3,4,106,5,5,1
7,2,82,123,6,0,4,18,33,0.819,0,0.121,0.06,11055599999,11055599999,9,24,3,12,27,4,4,2
1,0,100,150,0,0,5,0,171,1.0,0,0.0,0.0,1325201627,1325201627,0,167,4,0,171,0,0,0
5,0,98,147,0,0,5,3,53,0.982,0,0.018,0.0,1485763107,1485763107,0,50,2,2,52,1,1,0
25,0,100,150,0,0,5,0,99,1.0,0,0.0,0.0,10065264028,10065264028,0,97,2,0,99,0,0,0
580,274,96,144,3,48,5,1,8387,0.962,13,0.006,0.032,3022172,3022172,5,7212,844,1,8056,57,57,226
17,1,98,148,1,0,5,1,115,0.984,1,0.008,0.008,11094676616,11094676616,1,108,5,1,113,1,1,1
3,2,93,140,7,0,5,0,30,0.934,1,0.0,0.066,11373108546,11373108546,10,28,0,0,28,0,0,2
48,8,97,146,3,0,5,0,272,0.968,0,0.003,0.029,2244770,2244770,4,248,15,0,263,1,1,8
63,9,97,146,2,3,5,1,397,0.971,8,0.007,0.022,3536469,3536469,3,368,17,1,385,3,3,6
9,5,98,148,1,1,5,1,535,0.984,0,0.007,0.009,1023399266,1023399266,1,519,7,1,526,4,4,4
13,0,98,147,0,0,5,3,135,0.978,0,0.022,0.0,1557785882,1557785882,0,128,4,2,132,3,3,0
3,1,93,139,7,0,5,0,14,0.929,0,0.0,0.071,11023392562,11023392562,11,13,0,0,13,0,0,1
0,0,100,150,0,0,5,0,2,1.0,0,0.0,0.0,11393042053,11393042053,0,2,0,0,2,0,0,0
5,0,100,150,0,0,5,0,22,1.0,0,0.0,0.0,11015846158,11015846158,0,20,2,0,22,0,0,0
15,8,95,142,3,2,5,3,229,0.949,0,0.017,0.034,1038231540,1038231540,5,207,10,2,217,4,4,6
0,1,78,116,11,1,4,17,9,0.778,0,0.111,0.111,10696759818,10696759818,17,7,0,11,7,1,1,0
3,1,91,136,9,1,5,0,11,0.91,0,0.0,0.09,10515908483,10515908483,14,10,0,0,10,0,0,0
2060,628,96,144,3,119,5,2,21526,0.961,33,0.01,0.029,1284081,1284081,4,18918,1747,1,20665,233,233,509
1,1,87,131,13,0,5,0,8,0.875,0,0.0,0.125,10835593669,10835593669,19,7,0,0,7,0,0,1
14,2,97,146,2,2,5,1,102,0.972,1,0.009,0.019,1530855475,1530855475,3,96,3,1,99,1,1,0
0,0,100,150,0,0,5,0,8,1.0,0,0.0,0.0,11792331671,11792331671,0,8,0,0,8,0,0,0
